,0
0,0.021181074902415276
1,0.0013845489593222737
2,0.0005914085195399821
3,0.0003249770379625261
4,0.00025403176550753415
5,0.00019787944620475173
6,0.0001675020466791466
7,0.00014851926243864
8,0.00012488776701502502
9,0.0001313202956225723
10,0.00010189887689193711
11,9.186059469357133e-05
12,7.587511936435476e-05
13,7.255391392391175e-05
14,6.494585250038654e-05
15,6.1738261138089e-05
16,5.492728087119758e-05
17,4.565102790365927e-05
18,4.548648576019332e-05
19,4.0256309148389846e-05
20,4.233366416883655e-05
21,3.448146162554622e-05
22,2.9113258278812282e-05
23,4.292989251553081e-05
24,3.669785292004235e-05
25,2.8753747756127268e-05
26,3.077508881688118e-05
27,2.8392307285685092e-05
28,2.3411314032273367e-05
29,2.1417452444438823e-05
30,1.972018799278885e-05
31,1.8464226741343737e-05
32,1.9403545593377203e-05
33,2.6017298296210356e-05
34,1.8922237359220162e-05
35,2.2726220777258277e-05
36,2.5216580979758874e-05
